,line_text
8224,top percent
8225,michael
8226,yeah
8227,know serious
8228,jan listen promise kick notch bam
8229,
8230,emeril oh actually ever casino night tonight think everyone would love see fearless leader
8231,thought fearless leader
8232,eva peron cesar chavez
8233,laugh think handle
8234,oh come come
8235,think michael
8236,know fun hear voice need break
8237,goodbye michael
8238,jan understand romance thing sort hold time remained good friend good friend privilege day
8239,okay everybody tonight event benefit boy scout america
8240,every year
8241,well need money cooky like girl scout
8242,nice something people actually suffering
8243,well oscar like concentrate winning person end evening highest chip count receive donate charity choice get mini fridge compliment vance refrigeration
8244,yes
8245,get charity pam example playing comic relief
8246,exist anymore
8247,comedy much alive homeless people
8248,stopped making show
8249,well need money ever
8250,pick approved non profit organization
8251,great soup kitchen downtown scranton delicious pea soup thursday probably give money
8252,something animal people
8253,giving money gambled deal drug prostitute donate money charity
8254,oh another fun thing end night going give check actual group boy scout right toby gonna
8255,actually think appropriate invite child since know gambling alcohol dangerous warehouse school night know hooter catering know enough keep going
8256,way honestly every time try something fun exciting make way hate much thing choose okay know donate winning comic relief since apparently exist going donate afghanistani aid
8257,think mean aid afghanistan
8258,mean afghanistani aid
8259,afghani
8260,
8261,afghani
8262,dog
8263,afghan
8264,shawl
8265,wait canine aid
8266,human aid
8267,aid
8268,guy afghanistananies
8269,okay know aid funny believe tried
8270,certain topic limit comedian jfk aid holocaust lincoln assassination recently became funny need see play like need hole head laugh hope someday live world person could tell hilarious aid joke one dream
8271,
8272,oh nothing
8273,till death u rock
8274,wedding band
8275,oh
8276,roy supposed pick band concentrating bachelor party
8277,wait wait going mean even hire band still watch band pam people never given dream great respect yes probably bad make feel better dream
8278,kiss cover band
8279,let
8280,pretty happy day getting married soon getting along everybody work
8281,talk jan transferring well know future
8282,already put deposit understand deposit work
8283,mike fire eater paper warehouse
8284,casino night like la vega fire eater place
8285,except warehouse
8286,well actually warehouse
8287,actually owned beakman property dunder mifflin four year seven year lease
8288,
8289,darryl coming said wanted protection
8290,said
8291,lot stuff could stolen
8292,ironic
8293,
8294,afraid
8295,cause hood
8296,dinkin flicka
8297,sigh dinkin flicka
8298,taught mike uh phrase help interracial conversation know stuff like fleece going mach five dinkin flicka know thing u negro say
8299,give michael darryl perform simultaneous hand gesture
8300,oh yeah taught handshake
8301,jim ejects videotape vcr put new one wow know gonna decide extremely good
8302,think hire like lollapalooza
8303,yes
8304,three stage yeah
8305,mom would love would oh band called scrantonicity
8306,oh
8307,let take look nice
8308,oh wait kevin drum
8309,
8310,drum drum
8311,oh god kevin great song kev oh god drummer singer
8312,really lot wedding actually play public often really hoping pam wedding work could turning point band
8313,wow oh
8314,oh
8315,yeah seen since amazing okay sign gonna call label gonna
8316,
8317,pam gonna lose another wedding
8318,come back
8319,kev
8320,jim great take away stress planning wedding
8321,phone ring yes
8322,phone ring michael carol still
8323,
8324,carol still
8325,know carol still
8326,realtor
8327,oh yeah put hey carol go real estate biz
8328,still
8329,sometimes put michael already said something look practice run usually better second attempt
8330,carol michael
8331,hi carol
8332,oh hey problemo incidentally love place
8333,great little bit weird smell okay christmas tree helped
8334,actually sort hosting charity thing warehouse casino night
8335,yeah good know come bring paper sign stay drink
8336,yeah fun phone ring
8337,oh sorry could hold yes
8338,michael jan line two
8339,okay put deep voice jan levinson presume
8340,still uh jan michael
8341,michael
8342,hey jan
8343,know thought right
8344,
8345,could use little fun going drive casino night
8346,oh okay
8347,incidentally charity
8348,aid
8349,okay see tonight
8350,okay sound great
8351,bye bye
8352,bye hello carol hi sorry
8353,right
8354,yeah
8355,
8356,okay
8357,problem good
8358,good right sound great
8359,bye
8360,two queen casino night going drop deuce everybody
8361,people playing casino game actual casino night begin oh god
8362,yeah great
8363,hey hey
8364,hey carol
8365,look great
8366,oh well kiss michael kiss cheek pause kiss cheek paper biz european yes ah dwight kiss cheek
8367,code name max sign lan jevinson
8368,michael wingman got back two date got two date tonight job keep jan away carol vice versa michael said must deceive hurt way honor
8369,get drink food hooter
8370,okay
8371,oh steal thing time something stopped caring long time ago see many supply taken place honestly love stealing thing
8372,billy nurse hot
8373,nurse became girlfriend sweet
8374,chili great
8375,welkommen bienvenue welcome monte carlo dwight longer bos lady fortune bos
8376,breath lady fortune give raise
8377,shut shut shut lady fortune mistress time tell friend leave preconceived notion casino door old friend new lover disabled welcome great okay shuffle deal let get started black eyed crow
8378,player fold hand
8379,bluffing key part poker bad good bluffing believe
8380,call
8381,insane
8382,good card
8383,well toby went first hand tell might good card stupid take back
8384,okay right whatever
8385,really screwed michael leaf
8386,wow
8387,really play card gonna lie felt really good take money michael gonna chase feeling
8388,expect well tonight acute ability read people jim instance huge tell get good hand cough
8389,cough raise dwight sigh fold card thanks
8390,weirdest thing every time cough fold
8391,yeah whatever hey know luck involved would always winning see jan oh god oh god
8392,michael
8393,jan
8394,hi
8395,look okay think adult always understanding open relationship
8396,wait talking
8397,said coming invited carol come think anything wrong
8398,hi jan michael bos
8399,anyone want drink
8400,okay carol stare michael
8401,um
8402,hey hey
8403,hey
8404,jan
8405,give dice
8406,come dwight
8407,let go
8408,good evening dwight
8409,evening angela crap need roll eight everyone win
8410,yes
8411,roll eight
8412,thank angela
8413,good luck dwight
8414,yeah yeah kiss angela slap walk away smiling
8415,dwight let keep going let keep going let go
8416,let ride let ride
8417,give dice
8418,yeah right
8419,yeah right
8420,make face
8421,laugh good card
8422,really
8423,mhmm gonna take
8424,wow think bluffing
8425,yeah think full
8426,straight
8427,oh three nine
8428,pam jim halpert lady gentleman
8429,thank much fun
8430,cosmopolitan please
8431,well part job know keep eye thing long michael
8432,casino night warehouse good sport
8433,oh
8434,one beer one seven seven eight maraschino cherry sugar rim blended
8435,still going huh kelly
8436,right
8437,come shooter
8438,four hold dice front carol blow blow luck yeah also playing favorite hold dice front jan right go
8439,yeah
8440,close close
8441,come turn jan staying radisson
8442,
8443,super
8444,
8445,motel best western
8446,know
8447,holiday inn hyatt wilkes barre staying michael
8448,limit deuce seven draw tournament world series poker vega yeah pretty good poker
8449,
8450,okay let
8451,good luck honey
8452,oh thank bobby matter fun play
8453,three queen
8454,nice nice
8455,ace
8456,flush
8457,oh man
8458,oh flush
8459,yes
8460,look look clover wanna play
8461,suck
8462,took huh
8463,want talk
8464,hey saw tape band scrantonicity guy rock
8465,yeah
8466,yeah guy wanna play wedding
8467,awesome pam say okay
8468,whatever charge music
8469,dude sorry
8470,sweet right
8471,right
8472,smoke
8473,thanks fun
8474,fabulous time drove two half hour get
8475,yeah really
8476,left work early drove completely underdressed
8477,well think look great
8478,hook michael
8479,yeah
8480,late jim late given thought transfer
8481,oh yeah
8482,good told anyone
8483,
8484,well
8485,excuse big moment evening chip leader winner beautiful mini refrigerator courtesy vance refrigeration creed bratton dunder mifflin
8486,thanks never owned refrigerator
8487,sorry babe beat
8488,okay see home
8489,okay hey try lose much money right
8490,okay
8491,still want honeymoon hey halpert keep eye right
8492,okay
8493,see
8494,bye hey
8495,hey going
8496,good especially took money poker
8497,yeah hey talk something
8498,want give money
8499,
8500,wanna go inside feeling kind good tonight
8501,love
8502,
8503,really sorry weird hear needed hear probably good timing know
8504,expect say
8505,needed know
8506,well um
8507,yeah
8508,idea
8509,
8510,friendship mean
8511,come wanna wanna
8512,really sorry misinterpreted thing probably fault
8513,fault sorry misinterpreted friendship
8514,hey leaving
8515,hey okay
8516,wanted congratulate fantastic evening company proud
8517,thank
8518,thanks inviting right needed thanks
8519,okay thanks coming
8520,nice meet
8521,guy good time together
8522,okay talk monday
8523,yeah
8524,good night good bos
8525,oh great
8526,love triangle drama worked end though hero got girl saw coming jan really happy actually hero got two girl got girl work got girl buy real estate got new york girl local flavor life good
8527,phone minute ago know say yes know um know mom best friend yeah great yeah think jim enters go listen jim kiss
8528,everybody conference room please thank time money
8529,need anything
8530,
8531,get water donut
8532,
8533,come let go take seat
8534,going michael
8535,want somebody give name one biggest competitor
8536,office depot
8537,good yes work right need plural noun groaning
8538,apparently michael come dunder mifflin mad lib making u play happy like choose different adjective
8539,location
8540,planet caprica
8541,hell
8542,battlestar galactica
8543,okay right
8544,going back desk
8545,give adjective
8546,annoying
8547,already
8548,frustrating
8549,toby damn come already need something fun something like fat smelly pukey pukey pukey good okay pukey need noun
8550,as
8551,good thank phyllis hard right go office depot annoying store one day creed went buy paper ran irritating cylons
8552,yeah get creed
8553,one named michael scott oh damn okay okay okay okay starting
8554,charity farm defense fund one best organization fight infestation beet armyworm
8555,charity lackawanna county volunteer sheriff department dwight volunteer sheriff thought perfect opportunity support mock
8556,believe jim moved coat rack obligation use gift wisely great power come great responsibility could cross section brain find think true though
8557,look anything go missing reimburse
8558,yeah dunder mifflin afford
8559,dang paper making paper e money
8560,
8561,paper money clear throat yeah company fine
8562,mike shipping much last year
8563,hey okay know even think command go fun tonight right think
8564,number yes heck crew scranton hardworking motivated dynamic every single last one follow lead sort set tone hurt ex work corporate jan love branch think really half battle
8565,extremely stressful planning wedding like job mean fun kind becomes like work already planned head head
8566,oh god oh problem time never remember people sex
8567,oh right
8568,yeah temp anymore got jim uh old job mean year high school reunion
8569,kiss idea long wanted
8570,think drunk
8571,drunk drunk
8572,jim lean another kiss jim
8573,really gonna marry pam nod ok
8574,sobbing jim gone gone miss much ooooh cry sleep jim serious
8575,fun place call everybody faggie would anybody find offensive
8576,ok think oscar would like used lame something like
8577,faggie mean
8578,really
8579,apparently called oscar faggie liking movie shakespeare love action movie
8580,action movie die hard
8581,right michael oscar really gay
8582,exactly
8583,mean real
8584,yeah know
8585,mean attracted men
8586,ok little far crossed line
8587,ok telling oscar actual homosexual yeah told morning obviously hope count discretion
8588,would never called knew call retarded people retard bad taste call friend retard acting retarded consider oscar friend
8589,listen man sorry idea
8590,fine
8591,feel terrible calling people faggie since junior high never made mistake know behave far opposite way know even imagine thing maybe could go beer sometime could tell another dude
8592,sound like great wonderful idea let
8593,reference oscar gay explains much
8594,gay understand anyone would think gay sigh uh yeah gay
8595,say whether dunder mifflin paper le flammable sir assure certainly flammable
8596,transfer stamford think pretty obvious got promoted beat view right
8597,hey big tuna single right
8598,uh huh yeah
8599,pretty hot huh jim nod completely crazy steer clear big tuna head open water
8600,ooook
8601,ooook
8602,ate tuna sandwich first day andy started calling big tuna think actually know real name
8603,big tuna super ambitious guy know cut throat get ahead kind guy mean threatened went cornell ever heard laugh graduated four year never studied drunk whole time sang acappella group come treble
8604,oh
8605,jim nice enough dont know well fitting always looking camera like make classic jim camera face
8606,tell gay
8607,course
8608,oscar
8609,absolutely
8610,well
8611,well dressed woman clothes
8612,deep sigh could others need know want offend anybody else
8613,could assume everyone say anything offensive
8614,yeah sure everyone would appreciate treating like gay
8615,hey angela hard severe could gay woman
8616,really think
8617,know imagine another woman
8618,creepy smile
8619,research find way tell looking
8620,jim told could buy gay dar online
8621,ridiculous
8622,yeah probably tell truth lot
8623,sigh let call get website
8624,definitely
8625,gay dar
8626,well sold
8627,damn think try brookstone
8628,miss
8629,chicken fish
8630,loud sigh chicken
8631,havin good day
8632,excellent thanks
8633,good glad ok
8634,yeah go wedding got cold foot day really explain get relationship still pay food froze well apartment taking art class lunch next five week
8635,pam dumped um kinda stopped taking care uh hit bottom uh drunk driving arrest working um know gonna take granted gotta win back
8636,got toaster called wedding gave toaster back tried return toaster store said longer sold kind toaster house got two toaster
8637,yes super cool accountant failing paper supply company scranton much like um sir ian mcclellan
8638,sure sometimes watch grace want throw terribly loud like sometimes harry connick jr talented
8639,ok put calculator jello good one uh seriously guy seriously guy need know put calculator jello gonna lose frickin mind
8640,know amazing day age could obtuse sexual orientation
8641,watch l word watch queer f
8642,called
8643,ok michael aware ousted oscar today
8644,even
8645,coming significant moment gay person allowed select timing manner announcing
8646,well gay pride right gay pride parade like gay shame festival
8647,right oscar feeling discriminated co worker primarily angela um fault
8648,think angela might gay could oscar angela gay affair maybe
8649,
8650,kn
8651,possible
8652,anything possible
8653,know imagine gay
8654,laugh well gay jan know better anybody
8655,michael immaturity extremely disappointing may even lead lawsuit absolute last thing company need right understand
8656,company made responsibility today put end year weirded gay
8657,first gay man ever knew
8658,trick question cause always tell would know right answer
8659,michael dwight looking gay pornography computer
8660,uh michael know pam asked reason
8661,looking gay porn nothing wrong stuff fine know gay porn straight porn goooooood particularly get uh know totally see merit actually quite beautiful
8662,ah damn pop ups
8663,
8664,watching friend
8665,yelling right everybody conference room care gay straight lesbian overweight get right
8666,know gay used mean happy growing meant lame mean man make love men
8667,homo homosapiens gay necessarily think people mean anybody could gay business men like antique dealer hairdresser accountant oscar take opportunity officially come everybody however want go ahead stand
8668,yes gay plan sharing part life today whatever sit
8669,offended homosexuality sixty made love many many woman often outdoors mud rain possible man slipped would way knowing
8670,judge jury society
8671,judge jury
8672,yes good point good point gay marriage currently legal u law bet lot straight men wish applied could go torrid unabashed monkey sex much could know sound pretty good right
8673,sound great
8674,think office gay identify
8675,one else office gay
8676,phyllis make absolutely attempt feminine
8677,getting married bob vance
8678,great congratulation phyllis great frankly kiiiiiiiind amazing laugh see everybody chance
8679,still phyllis college ever experiment woman lot woman
8680,knew high school course thought gay high school
8681,laughing right serious take compliment
8682,well tie matching sock
8683,well like look good ok
8684,sound pretty defensive michael
8685,coming coming hetero
8686,think problem office
8687,signal sending
8688,look gay would flamboyant gay ever seen would leading parade covered feather would waving rainbow flag
8689,think work longer worst backwards day life
8690,misunderstand ok know ok uh gonna put money mouth ready going embrace oscar might want watch angela catch anything go going make statement going make statement together oscar friend
8691,would rather
8692,care see bother
8693,want touch ever consider ignorant insulting small
8694,right um sorry
8695,michael sorry good idea come come oscar michael hug
8696,sobbing sorry called faggie faggie good guy
8697,michael appears gay yet friend guess gay friend
8698,embracing oscar know going raise stake want watch want burn brain image want people remember long time come whenever come office want think awkwardly kissing oscar see still still everyone clap
8699,dwight get kiss oscar oh come dwight come man
8700,playground anymore new rule mature lose spirit child like wonder love anyway maybe supposed break rule like jan oscar guy life short two people find stand way
8701,glad today spurred social change part job regional manager know even least put matter bed said said
8702,oh gill oscar roommate wonder know
8703,going quit jan offered three month paid vacation company car sign something saying sue gill going europe kid sometimes pay gay
8704,reading note gay dar hope help jim nice
8705,dwight running gay dar oscar body
8706,shhh scared gay dar beep oscar belt buckle dwight smile work gay dar go next dwight belt buckle oh
8707,speakerphone okay goal lunch
8708,job best ability
8709,breath heaven help u aloud specifically
8710,
8711,specifically
8712,specifically jan make least ten phone call client
8713,yes begin every day letting jan know intend accomplish call end day tell
8714,speakerphone toilet michael
8715,quietly
8716,well know sometimes tell going assume call back finished
8717,okay jan hang toby open office door
8718,michael
8719,sigh
8720,hi honey holding
8721,yup
8722,yeah
8723,painting new apartment tonight
8724,oh good
8725,yes
8726,aw well hang okay know get one big body pillow way miss know much
8727,thanks
8728,roy
8729,right
8730,think think everybody stay everybody personal business
8731,yes gay
8732,shocked expression
8733,best looking single men always gay
8734,hey big tuna ever google google think would happen
8735,let find start typing
8736,make frustrated noise
8737,oh lot result
8738,mean supposed ponder removed fun thanks lot big tuna
8739,pam
8740,yeah
8741,see oprah yesterday
8742,
8743,uh going father
8744,oprah
8745,angelina jolie adopted baby asia said changed life really inspired want look seeing much little chinese baby would cost
8746,really big decision
8747,know
8748,maybe wait adopt
8749,well
8750,adopt
8751,okay
8752,roy sister looked application alone cost thousand dollar
8753,um find cheaper le expensive baby okay
8754,know also said waiting list like eight month
8755,eight month
8756,yeah
8757,even know want baby eight month
8758,probably
8759,know pam ten year baby baby
8760,michael
8761,twenty year
8762,michael
8763,thirty
8764,sure
8765,deal
8766,right three pair pant three pair sock three pack condom
8767,yesh
8768,uh fun jean
8769,right ah
8770,sign
8771,per diem
8772,guess going give hint booze fueled sex romp anything go correct sir headed philadelphia annual northeastern mid market office supply convention jim halpert going coming fun poor little guy stuck working josh poor man michael scott known around condo
8773,mad business trip
8774,understand manager
8775,monkey r assistant regional manager
8776,know really hoping could spend time together long silence still
8777,yes monkey
8778,monkey wait get r
8779,martin family like say look like someone took slow train philly code check slut fly
8780,
8781,thank
8782,yes date cartoonist local paper really neat like draw kind nervous first date nine year probably broadcast
8783,sleep
8784,oh wow oh god great idea know hilarious wear wedding dress would great icebreaker
8785,veil
8786,yeah
8787,probably wear
8788,really okay well word advice unbutton top button let thing breathe message want relate jim
8789,um
8790,um okay um
8791,um
8792,got
8793,got
8794,write
8795,got
8796,um
8797,um
8798,girl noticed handing shekel would one get train
8799,per diem philadelphia
8800,town smell like cheese steak
8801,town full history
8802,andrea office bitch get used introducing creed
8803,neck pillow back michael neck pillow back
8804,hey josh ya
8805,good see traitor traitor traitor come come yeah product progidal son return
8806,shocked told transferring stamford like fireman leave brother behind even find better fire connecticut
8807,really good see man
8808,yeah wow expect good see
8809,oh hey going made sale yet
8810,yeah sold forty thousand
8811,hey
8812,shut impossible
8813,yep
8814,well
8815,know saw dwight realized stupid petty prank pulled spoke wonder hard would get copy room key
8816,hear
8817,
8818,pam back market
8819,really dating
8820,engaged would hit
8821,kind commission get
8822,oh dwight missed much
8823,immature
8824,ah
8825,oh hey
8826,hey jan
8827,checked
8828,great let dump stuff meet back half hour
8829,okay
8830,jan look think need set ground rule
8831,talking
8832,eight hundred pound gorilla room carol still dating nothing happen u convention
8833,step away michael
8834,thank brave thank
8835,mm hmm
8836,party going awesome
8837,know specifically chose room close elevator foot traffic
8838,check
8839,crooked side
8840,wow
8841,hey hey
8842,lot liquor
8843,yeah
8844,dart board
8845,well scranton forget party like scranton party cause scranton party stop
8846,hey well time one road gentleman
8847,oh sorry inside joke bartender stamford uh know
8848,wish love inside joke love part one someday
8849,yeah
8850,right see guy change mind come back
8851,shot michael
8852,ugh would gross even lunch yet
8853,swag stuff get basically decorated condo free swag
8854,check hi michael scott dunder mifflin
8855,dwight schrute assistant regional manager dunder mifflin
8856,huge fan
8857,know huge blowout tonight room hope come
8858,well cool okay tell people gonna
8859,maybe see ya
8860,call bus
8861,afraid fly
8862,smile
8863,remember last year party room miss right elevator tonight
8864,yep yeah front
8865,email phone
8866,know yes hello
8867,one called
8868,right nice meeting ted take care
8869,phone see bit bye bye dwight may moment time please
8870,need something
8871,yes anything
8872,want dig dirt josh find skeleton attic
8873,talk buddy station stat
8874,hey pam
8875,hey
8876,uh might ask wanted
8877,answering phone dunder mifflin pam office take message hang sorry
8878,um uh um completely forgot going say weird
8879,okay well think
8880,okay
8881,called buddy station today run background check josh porter see known alias et cetera
8882,
8883,volunteering today
8884,business pretty crazy around office
8885,oh yeah
8886,yeah moved ryan desk
8887,oh tell say hi
8888,call later message
8889,hey toby
8890,toby flenderson everything wrong paper industry left
8891,oh know good opportunity promotion got chance
8892,opportunity promotion blah blah know jim word taken account factor vi vi boss josh funnier even girlfriend two basically
8893,michael really competition
8894,great
8895,hey jan jan worry got tip
8896,whoa michael
8897,welcome
8898,per diem
8899,different hundred dollar bill
8900,generated michael
8901,generated lot interest party evening
8902,party
8903,party tonight obviously invited
8904,michael um jim josh meeting day meeting stay top
8905,order expensive thing menu know worth
8906,going put
8907,oh yeah put
8908,key jane doe thank
8909,message right
8910,hey hey feller
8911,michael
8912,hey michael
8913,
8914,hey check little friendly competition stamford versus scranton
8915,oh jim look like picked bad time defect friend
8916,okay excellent oh
8917,keep wing flap
8918,shut answering phone hey pam yep yech tell give general specific tomorrow okay yes others say hi pam
8919,yes josh dwight jim others pam say hi phone fun date good talk later bye
8920,first
8921,come nice try josh
8922,hit rim okay okay double nothing
8923,well let
8924,come
8925,come
8926,fine
8927,jim different definition friendship think talking friend jim think moving connecticut best friend josh well phooey uh done going speaking anymore whatevs long distance relationship never work
8928,okay let tell looking
8929,sorry meeting ran late
8930,really
8931,yes jan really rep hammermill
8932,used evan call morning work detail sell hammermill product
8933,yes ha
8934,well michael underestimated
8935,yeah well maybe next time estimate
8936,dwight room key dwight room say old habit die hard
8937,
8938,oh god dwight got hooker oh god gotta call well gotta call somebody even know call dwight got hooker
8939,want ketchup
8940,come cartoon
8941,dream cartoon fun
8942,hey first guest going tequila friend
8943,party
8944,party central guy leaf right
8945,huh
8946,freedom fry yeah
8947,well uh really nice meeting alan
8948,freedom fry
8949,great
8950,went date love connection um think like someone kinda know
8951,michael first arrive
8952,people filtering
8953,get drink
8954,
8955,get drink
8956,sure like cosmos
8957,yeah
8958,sure sound good josh busy
8959,michael
8960,get totally get made better paper airplane stamford better sale get fun laugh
8961,wait wait transfer good bos great bos
8962,better josh
8963,michael transferred pam
8964,oh god even know single
8965,heard something kind put line twice actually said twice
8966,sorry man sorry hey know talk
8967,nope okay
8968,yeah
8969,right
8970,talk least talk roy mean know exactly feeling
8971,yeah okay maybe
8972,hey know people filtering
8973,hey
8974,evan jim
8975,
8976,hey ernie ya
8977,used friend
8978,best friend
8979,people need dozen friend say hey look popular picky need three maybe two meet someone special know real relationship forced come effortlessly
8980,would pleasure hitting light sir light go leaving michael black light ha ha ha
8981,ha ha ha ha
8982,whoa stain
8983,blood urine semen
8984,oh god hope urine
8985,today headed philadelphia annual northeastern office supply convention make horn gesture heavy metal scream wooo yaaaaah oh thing tend kind crazy
8986,angela enters michael office ah
8987,sign
8988,per diem singing sign perrrr diiiiieeeemmmm show bill ryan know ryan benjamin
8989,reading checklist fun jean
8990,point door right
8991,fourth quarter projection jan
8992,yes oh yeah pam give
8993,
8994,sure want come
8995,yeah
8996,gonna fun change mind get cot
8997,shake head
8998,couple year ago went one hartford connecticut todd packer went bar met girl laugh packer decides make turn boyfriend bouncer bar laugh love bouncer chase u packer vette jump vette
8999,see factory
9000,mm hm
9001,almost worked
9002,
9003,yup yeah applied job
9004,would done manager
9005,going bottle capper
9006,bottle capper laugh disbelief
9007,know know crazy world crazy crazy world
9008,josh reminds guy went high school big football star girl loved whatever guess tv announcer eagle laugh even get play game mean
9009,ever convicted felony
9010,misdemeanor
9011,coast guard know fight underwater
9012,jim josh jan walk hotel lobby josh um jim continues walking ahead come room couple minute go schedule tomorrow together
9013,quick drink
9014,putting good face great walk
9015,waiting pam done microwave ahhhhhhhhh whispering loudly hungry
9016,movie monday cure know monday blue varsity blue
9017,let gooooo let go let go let go
9018,directing people assigned seat take seat second end
9019,alright everybody yes
9020,walking tray six popcorn bag popcorn anyone
9021,yes pleeeeease thank yooouuu
9022,five popcorn bag left anyone else nooo
9023,movie monday started training video went pretty fast watched medical video since half hour installment various movie exception episode entourage michael made u watch six time
9024,entourage
9025,kevin would like scene last week
9026,yes
9027,
9028,whine get window dwight exhales
9029,previously varsity blue
9030,ok billy bob got head injury coach made play lance get sacked year
9031,walking empty office everyone watching varsity blue hello
9032,everyone approves movie monday say
9033,approve
9034,hello angela cough point conference room
9035,jan walk movie monday hi jan hope brought milk dud
9036,would movie increase productivity michael earth would
9037,people work faster
9038,magically
9039,make time lost watching movie
9040,
9041,walking past dwight desk kitchen
9042,michael going get u fired sat back let play dumb movie jan peeved going lose job
9043,going happen
9044,know
9045,fault follow heart
9046,ever since michael dumped jan carol jan bitching reject woman never let go one many defect kind also weak arm
9047,dwight running office
9048,michael would never let
9049,michael jan call talk
9050,could never
9051,fine sit back nothing let u get fired
9052,know patience loyalty good virtuous trait sometimes think need grow pair
9053,stamford branch play world war ii video game called call duty really told started team building exercise unfortunately really suck play many video game scranton instead stuff like uh pam would sometimes hum high pitched note try get dwight make appointment ear doctor uh pam called pretendenitus
9054,phone hey kelly stuff got kelly scream excitement phone pam take away ear
9055,kelly really like online shop soooo felt like wanted new clothes mean wanted felt like time maybe um get new clothes
9056,pulling new shirt box ok
9057,really know
9058,work try
9059,noooo
9060,
9061,killing german way
9062,german team shoot brittish
9063,turning around karen wait playing team
9064,laughing yeah
9065,outside parking lot pacing back forth wah gah breathing heavily
9066,answering phone hello
9067,jan
9068,
9069,dwight schrute calling extremely sensitive matter
9070,talk michael talk way speak
9071,michael
9072,
9073,exhales talk sensitive
9074,surprise party
9075,discus another time
9076,look already hour outside scranton dwight coming back
9077,pull exit liz claiborne outlet know like store go inside shop meet
9078,know like store
9079,many blouse claiborne
9080,know
9081,part job
9082,officially
9083,noted
9084,walking michael office going dentist
9085,ok
9086,emergency crown put
9087,ouchy
9088,yes new dentist far might gone three hour
9089,three hour wow fun dwight walk away staring blind michael
9090,get anything good
9091,yeah
9092,new blouse halter top camisole teddy
9093,save branch
9094,really
9095,let run
9096,ok
9097,excitedly ok run
9098,would differently
9099,mostly get rid waste half people clean house waitress diner right thank
9100,dwight must feel strongly speak way behind michael back turn many co worker
9101,decision turn michael difficult pouring way much syrup food look back mostly feel michael would approve really best branch could care le co worker cutting food giving jan look table want branch await decision
9102,shoveling waffle mouth oh way new ann taylor outlet store near know like earring
9103,think second
9104,speakerphone michael michael
9105,hi
9106,interesting conversation one employee
9107,oh nice
9108,dwight told think run branch better
9109,
9110,mm hmm
9111,dentist
9112,people undermining get control branch immediately
9113,ok
9114,dwight thinking could turn jan ex lover ish
9115,pam walk bathroom wearing new red shirt woooooow
9116,really something
9117,smiling much
9118,gonna return
9119,walking break room hey
9120,hi
9121,look nice
9122,thanks
9123,yeah think big help company someone dims light signifying game time ok see next week bye karen
9124,scared
9125,hand making rocker sign call duty
9126,
9127,put game hold everyone
9128,new guy look jim
9129,oh sorry know talking
9130,see mean
9131,um sniper rifle
9132,
9133,playing team
9134,saboteur
9135,saboteur going kill real game game really going shoot
9136,hey dwight
9137,hey
9138,want
9139,thanks stuffed
9140,seriously really good
9141,ok take eats several
9142,good huh
9143,good
9144,hey thought supposed eat anything couple hour crown put
9145,new kind quick drying bonding
9146,sound like good dentist
9147,oh yeah
9148,name
9149,long pause crentist
9150,dentist name crentist
9151,yep
9152,huh sound lot like dentist
9153,maybe became dentist
9154,let see teeth let see em let see em
9155,reluctantly open mouth michael peer inside ahh aaaah
9156,floss
9157,know
9158,exhales well glad ok
9159,business like jungle like tiger dwight like monkey stab tiger back stick tiger fire monkey tiger transfer monkey another branch smiling pun way knowing go inside tiger head technology
9160,dwight talk second
9161,michael office wow tough
9162,
9163,ohhhh arrrgggh
9164,
9165,well got phone jan um demoted
9166,
9167,yeah know craziest part demoted job
9168,gahh
9169,said expecting call later corporate um guess mean going acting manager dunder mifflin scranton
9170,believe news wow
9171,know told know whether wanna always loyal trusted ally
9172,said
9173,yep think
9174,well gosh think
9175,exhales perfect well settled
9176,right
9177,right well acting manager dunder mifflin scranton branch assistant regional manager
9178,assistant regional manager thank michael staying really appreciate
9179,ohh
9180,hey imagine place without
9181,muttering nice
9182,well guess go tell troop
9183,yeah ready mike dwight exhales michael look camera ok let
9184,hey hi hello everybody good news bad news replaced leader dwight
9185,kidding
9186,might think kidding understand
9187,congratulation dwight
9188,thank angela
9189,dwight
9190,dwight never lie
9191,qualify run branch
9192,take
9193,ok dwight would like say word everybody loyalty
9194,thank michael want say remain employ intend lead black ferocity
9195,michael
9196,oh fine
9197,saving
9198,
9199,michael might lose condo
9200,
9201,little vacuum cleaner broken dwight work maybe could manager
9202,maybe quit
9203,really happening
9204,yes
9205,make difference
9206,
9207,alone thought together could
9208,oh please naive charge woman
9209,whispering look cute trying shoot smoke grenade
9210,sorry whispering
9211,sorry nothing concentrate turning around
9212,trying
9213,tap
9214,oh
9215,player gun pointed directly jim player head last word
9216,karen player shoot jim player killed jim halpert appears screen karen giggle
9217,wow psychopath karen grin widely jim
9218,
9219,looking
9220,please go back desk
9221,minute
9222,well remember dress way work gonna keep clothes mean cool work clothes pajama
9223,well guess time turn key famous sebring
9224,smiling thank
9225,corporate lease dwight earned
9226,thanks
9227,
9228,style
9229,said liked always admired
9230,well thinking getting something german something decent gas mileage plus convertible ridiculous choice climate
9231,michael finally break take back
9232,confused
9233,car
9234,
9235,car
9236,yes
9237,know dwight know know know
9238,know
9239,jan called little meeting
9240,
9241,know made whole thing dwight
9242,think sebring cool cool seabring cool cassette cd
