,line_text
211,good good
212,yeah
213,great
214,
215,yeah
216,um
217,walking
218,yes
219,yes want
220,yeah
221,great let
222,car horn honking oh roy
223,yeah listen nice weekend
224,yeah definitely enjoy look camera know come
225,dwight schrute father name also dwight schrute grandfather name dweide schrude amish family know came amish came originally uh amland
226,holding dundie pretending talking hello michael scott best bos world
227,name jim halpert sale rep important job um without dozen literally dozen small business would go paperless would write hand bed sheet know know total chaos total chaos mean could get paper somewhere else staple maybe know
228,pam pam pam pam u forever right pam
229,guess
230,yeah one time another every guy office sprayed pam
231,
232,message
233,people respond human touch give look client say hello business going go back forth sometime uh say much many ream want order take care sale make sure get paper appreciate
234,ah right three stooge high five michael ryan high five oh pam guy thing pam camera cut pam back michael one curly
235,uh shemp
236,curly good curly joe derita
237,curly joe derita different
238,well comedy kinda thing watch curly joe mmm oh forgot go yelling cod german hitler right continues cod german curly joe hitler laugh
239,people walking around happy life going along ignorance bliss knew lurking side fence furry monster imitating monster gonna get downsizing freak going play god look support look guidance leadership think could lie serf going
240,sale staff one making call making u lot money come screeching halt laugh accounting number dude let job description fool completely crazy especially guy mental patient camera zoom kevin literally course work last place want somebody like accounting hide behind office plant interesting stupid artie johnson crazy place
241,name angela um charge accounting department three u kevin oscar
242,job keep book order um uh immediately supervisor
243,oscar describe like stapler need stapler yes still one push
244,lot anxiety want get laid place like five minute house
245,wanna laid good job cause need night free band
246,worried downsizing right uh think met kevin um
247,say one thing um friend jewish art geller couple year ago um showed plant tree israel planted tree know cause yeah work paper well know try give back
248,lot cat figurine desk think cat really old soul uh phyllis think
249,know well hurt know hurt happy little least
250,
251,wired
252,oh john belushi crazy guy phew freaked morning
253,oh yeah
254,yeah thought found lump checked uh check jewel every month time know little different fine fine freaky man know testicular cancer god cancer whoa testicle um eating
255,smoked turkey
256,oh place around corner nice right see later
257,need speak grab boom microphone hello
258,fine
259,sorry make nervous
260,understand blind spot trained several martial art one uh includes uh awareness master bring uh anything side could behind whatever directly blind spot trained respond negatively something right head new take eye see periphery needed block attack stop somehow martial art move hand could come right mean know job documentary crew member talking dwight
261,job
262,think better happy idiot um someone know truth
263,hey uh help
264,gotcha good go row good idea
265,today diversity day someone going come talk u diversity something pushing wanting push long time corporate mandated never actually talked corporate kind beat punch bastard going think important excited
266,thing sturdy paper back say post consumer content hello uh huh wait sorry mr decker think losing shedder whirring hello hello yeah hold one second know hold one second
267,really right
268,yes done week ago actually
269,mr decker sorry hold one second yeah one second thanks power silence hello perfect saying dialing tone hello thanks dwight
270,retaliation tit tit
271,expression
272,well
273,biggest sale year love reason really sure make one call every year renew account one call end commission whole year buy mini bottle champagne celebrate little year pushing recycled paper one percent know getting cocky right
274,solitaire
275,yeah freecell
276,six seven
277,know saw
278,
279,saving cause like card go t t tch tch tch
280,love
281,hey oscar man
282,right
283,good weekend going
284,fine
285,oh yeah bet fun mr brown oh hey oscar
286,martinez
287,right see even know first name basis
288,oh hey well diversity everybody let oscar work jim could wrap please
289,yeah uh mr decker please
290,diversity day jim wish every day diversity day
291,know actually going call back thank sorry
292,come people let get em get card get card
293,know color free zone stanley look another race
294,exactly
295,tolerance
296,ignorance
297,let celebrate
298,celebrate good time come let celebrate diversity right
299,know going go around everybody everybody say race attracted sexually go last go
300,two white indian
301,yes
302,ok
303,ground rule
304,hey hey run run
305,ok steer away gay people
306,sorry orientation race plus lot race intolerant gay paradox
307,figured would save time
308,ok defer mr
309,ah oh right ok first test call
310,come chris rock routine everybody find hilarious ground breaking go exact routine comedic timing people file complaint corporate white chris black
311,play chris rock guy would like see someone else pull
312,ok play guy listening
313,remember
314,ok
315,kevin great guy great accountant much entertainer
316,basically two type black people black people actually racist hate type black people every time one type want good time type come make real mess
