,Accuracy,Precision,Recall,F1
"Naive Bayes, Oversampling",0.6279265977641848,0.6011013245564345,0.6279265977641848,0.5943681437650045
"KNN, Oversampling",0.6013499261759122,0.5667648551775454,0.6013499261759122,0.5666318481202505
"SVM, Oversampling",0.6260282640793081,0.5946202228685434,0.6260282640793081,0.5811252785024111
